label,mean_diff,max_diff,var_diff
2,0.38594604,0.96074295,0.071649455
2,0.55995405,1.2975483,0.055810325
2,0.18006143,0.5939865,0.021541998
2,0.20419852,2.1711807,0.09020834
2,0.22888236,2.1711807,0.09446098
2,0.91677547,2.1711807,0.15534692
2,0.31516612,0.76280975,0.043883286
2,0.7484943,1.499443,0.09124294
2,1.5092788,2.0958939,0.15107267
2,0.7312867,1.2480011,0.05985235
2,0.9987203,1.6426945,0.07794947
2,1.0077566,1.7219734,0.11071785
2,0.5662788,1.3889828,0.078179725
2,0.39692396,2.1711807,0.12457635
2,0.63327277,4.8851547,0.4269403
2,0.6027706,4.8851547,0.46184793
2,0.50745654,2.1711807,0.1633918
2,0.47245103,1.4404793,0.12333462
2,1.0809022,2.4072914,0.3967833
2,0.58723265,1.4827671,0.1463576
2,0.89769024,1.8305893,0.22822726
2,0.86122054,2.1711807,0.25046048
2,0.567854,4.8851547,0.46051896
2,1.2093471,4.8851547,0.38586572
2,1.6591904,2.4603062,0.18957601
2,0.994339,1.722889,0.11271728
2,0.3059537,0.9180622,0.04997244
2,0.5767679,1.2391052,0.09007653
2,0.42536768,1.0949268,0.062958084
2,0.3070913,0.9217377,0.053342566
2,1.1880242,1.9592304,0.18293875
2,1.4196087,2.6023178,0.5323234
2,0.5774193,1.7533741,0.22324276
2,0.35562354,0.94389725,0.059258163
2,0.6976726,1.2651978,0.076699056
2,0.21121125,0.59454536,0.023717815
2,0.33573657,1.1049595,0.07692527
